orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 1100 Southern Avenue,Elizabeth City,NC,27909,"",1100,Southern Avenue,Elizabeth City,Pasquotank County,North Carolina,United States,27909,36.29029999999999,-76.2165,false
 18493 Running Pine Court,Triangle,VA,22172,"",18493,Running Pine Court,Triangle,Prince William County,Virginia,United States,22172,38.551299,-77.308329,false
 1670 Atlanta Hwy,Madison,GA,30650,"",1670,Atlanta Highway,Madison,Morgan County,Georgia,United States,30650,33.5826171,-83.49791479999999,false
 2310 Statesville Avenue,Charlotte,NC,28206,"",2310,Statesville Avenue,Charlotte,Mecklenburg County,North Carolina,United States,28206,35.252634,-80.835431,false
 1309 Globe ST,Fall River,MA,2721,"",1309,Globe Street,Fall River,Bristol County,Massachusetts,United States,02721,41.683812,-71.158456,true
 201 East Washington,Glasgow,KY,42141,"",201,East Washington Street,Glasgow,Barren County,Kentucky,United States,42141,36.9946715,-85.910956,true
 2600 Crooks Rd,Troy,MI,48084,"",2600,Crooks Road,Troy,Oakland County,Michigan,United States,48084,42.5578966,-83.1663715,false
 865 Main Street,Malden,MA,2148,"",865,Main Street,Malden,Middlesex County,Massachusetts,United States,02148,42.43528329999999,-71.0674403,true
 703 Thomas Street,Stamps,AR,71860,"",703,Thomas Street,Stamps,Lafayette County,Arkansas,United States,71860,33.3643142,-93.49754949999999,false
 22 N Main St,Cranbury,NJ,8512,"",22,North Main Street,Cranbury Township,Middlesex County,New Jersey,United States,08512,40.31142740000001,-74.5158443,true
 2773 North Decatur Road,Decatur,GA,30033,"",2773,North Decatur Road,Decatur,DeKalb County,Georgia,United States,30033,33.7914184,-84.2794285,false
 451 Hospital Drive,Gastonia,NC,28054,"",451,Hospital Drive,Gastonia,Gaston County,North Carolina,United States,28054,35.267732,-81.137953,false
 2508 Walkers Creek Valley Road,Pearisburg,VA,24134,"",2508,Walkers Creek Valley Road,Pearisburg,Giles County,Virginia,United States,24134,37.197669,-80.8304471,false
 1176 Main St,Fairfax,VT,5454,"",1176,Main Street,Fairfax,Franklin County,Vermont,United States,05454,44.667824,-73.012388,true
 57 Main St,Essex Junction,VT,5452,"",57,Main Street,Essex,Chittenden County,Vermont,United States,05452,44.492695,-73.106743,true
 11411 North Michiga n Road,Zionsville,IN,46077,"",11411,North Michigan Road,Zionsville,Hamilton County,Indiana,United States,46077,39.9502877,-86.2407053,true
 1004 4th Ave North,Bessemer,AL,35020,"",1004,4th Avenue North,Bessemer,Jefferson County,Alabama,United States,35020,33.393896,-86.962548,false
 805 Ellsworth at Ninth Ave,Albany,OR,97321,"","",Southwest Ellsworth Street,Albany,Linn County,Oregon,United States,97321,44.631012,-123.1048209,true
 511 Brook St,Rocky Hill,CT,6067,"",511,Brook Street,Rocky Hill,Hartford County,Connecticut,United States,06067,41.6438345,-72.6636229,true
 550 Business Park Drive,Medford,OR,97504,"",550,Business Park Drive,Medford,Jackson County,Oregon,United States,97504,42.3719658,-122.8828853,false
 236 Second Street West,Wabasha,MN,55981,"",236,2nd Street West,Wabasha,Wabasha County,Minnesota,United States,55981,44.3837082,-92.0339834,false
 201 North Hickory Street,Crescent,OK,73028,"",201,North Hickory Street,Crescent,Logan County,Oklahoma,United States,73028,35.9537742,-97.59693039999999,false
 88 Beach Rd,Fairfield,CT,6824,"",88,Beach Road,Fairfield,Fairfield County,Connecticut,United States,06824,41.1440317,-73.25163119999999,true
 2611 Main Street,Stratford,CT,6615,"",2611,Main Street,Stratford,Fairfield County,Connecticut,United States,06615,41.1960679,-73.13242009999999,true
 419 White Plains Road,Trumbull,CT,6611,"",419,White Plains Road,Trumbull,Fairfield County,Connecticut,United States,06611,41.2358779,-73.1784887,true
 1303 N Main St,Meridian,ID,83642,"",1303,North Main Street,Meridian,Ada County,Idaho,United States,83642,43.6155829,-116.3919948,false
