orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 1215 Central Blvd,Bull Shoals,AR,72619,"",1215,Central Boulevard,Bull Shoals,Marion County,Arkansas,United States,72619,36.3839337,-92.5872801,false
 290 Goodman Road E,Southaven,MS,38671,"",290,Goodman Road East,Southaven,DeSoto County,Mississippi,United States,38671,34.9632279,-89.9849191,false
 193 High Street,Newburyport,MA,1950,"",193,High Street,Newburyport,Essex County,Massachusetts,United States,01950,42.8104293,-70.879817,true
 100 West Hwy. 14,Tyler,MN,56178,"",100,U.S. 14,Tyler,Lincoln County,Minnesota,United States,56178,44.2696325,-96.1348325,true
 500 Cohen Street,Brookhaven,MS,39601,"",500,Cohen Street,Brookhaven,Lincoln County,Mississippi,United States,39601,31.5731591,-90.4358383,false
 1005 North Church Street,Mount Olive,NC,28365,"",1005,North Church Street,Mount Olive,Wayne County,North Carolina,United States,28365,35.2028053,-78.0536452,false
 701 Hwy 21,Mount Hope,WV,25880,"",701,Highway 16,Mount Hope,Raleigh County,West Virginia,United States,25880,37.8649701,-81.1945726,true
 634 N. Water Street,Uhrichsville,OH,44683,"",634,North Water Street,Uhrichsville,Tuscarawas County,Ohio,United States,44683,40.394913,-81.347579,false
 35400 Glenwood Road,Westland,MI,48185,"",35400,Glenwood Road,Westland,Wayne County,Michigan,United States,48186,42.2887501,-83.3883254,true
 522 South Bright Leaf Blvd.,Smithfield,NC,27577,"",522,South Brightleaf Boulevard,Smithfield,Johnston County,North Carolina,United States,27577,35.503077,-78.3451709,true
 229 Mill Streeet,Silverton,OR,97381,"",229,Mill Street,Silverton,Marion County,Oregon,United States,97381,45.008122,-122.780842,true
 4428 Unicoi Drive,Unicoi,TN,37692,"",4428,Unicoi Drive,Unicoi,Unicoi County,Tennessee,United States,37692,36.207312,-82.346959,false
 1600 Stuyvesant Ave,Union,NJ,7083,"",1600,Stuyvesant Avenue,Union,Union County,New Jersey,United States,07083,40.7103319,-74.25965160000001,true
 700 Highway 15 South,New Albany,MS,38652,"",700,Highway 15 South,New Albany,Union County,Mississippi,United States,38652,34.4581002,-89.01096059999999,false
 1037 71st School Road,Fayetteville,NC,28314,"",1037,71st School Road,Fayetteville,Cumberland County,North Carolina,United States,28314,35.0544984,-79.0118427,false
 1215 Leona Street,Dothan,AL,36303,"",1215,Leona Street,Dothan,Houston County,Alabama,United States,36303,31.241644,-85.396021,false
