Name,seo-url,Address,City,State,Zip,Phone,Basic Services,Embalming,Dressing & Casketing,Facilities & Staff for Visitation,Facilities & Staff for Chapel Service,Transfer Vehicle to Funeral Home,Hearse,UtilityFlower Vehicle,Lead Car,Direct Cremation with Memorial Service ,Crematory Fee,Direct Cremation
A.C. Robinson and Son Funeral Home,a-c-robinson-and-son-funeral-home,1100 Southern Avenue,Elizabeth City,NC,27909,252-338-6348,1395,475,50,100,200,200,250,100,100,1235,Included,1035
A Dignified Funeral & Crematory Service,a-dignified-funeral-crematory-service,18493 Running Pine Court,Triangle,VA,22172,703-441-8500,2175,625,285,495,550,395,450,250,250,3360,300,2865
A. E. Carter Funeral Home,a-e-carter-funeral-home,1670 Atlanta Hwy,Madison,GA,30650,706-752-1790,2600,795,150,600,800,250,250,150,Not Available,3150,Included,2750
A.E. Grier & Sons Funeral Ceremony of Choice,a-e-grier-sons-funeral-ceremony-of-choice,2310 Statesville Avenue,Charlotte,NC,28206,704-377-4243,1945,850,140,375,375,175,350,100,Not Available,1950,Included,1575
A. F. Almeida Funeral Home,a-f-almeida-funeral-home,1309 Globe ST,Fall River,MA,2721,508-672-0971,1475,550,175,175,595,295,325,175,Included,3290,Included,2695
A F Crow & Son Funeral Home,a-f-crow-son-funeral-home,201 East Washington,Glasgow,KY,42141,270-651-2080,1275,995,275,450,595,195,225,95,Not Available,2560,Included,1965
A.J. Desmond & Sons Funeral Directors,a-j-desmond-sons-funeral-directors,2600 Crooks Rd,Troy,MI,48084,248-362-2500,2190,700,400,900,750,290,375,Not Available,Not Available,3235,270,2485
A.J. Spadafora Funeral Home,a-j-spadafora-funeral-home,865 Main Street,Malden,MA,2148,781-324-8680,2395,675,225,200,875,285,325,285,Not Available,3050,Included,2300
A. O. Smith Funeral Home,a-o-smith-funeral-home,703 Thomas Street,Stamps,AR,71860,870-533-4406,1575,700,175,275,350,275,150,100,50,2675,Included,2250
A. S. Cole & Son,a-s-cole-son,22 N Main St,Cranbury,NJ,8512,609-395-0770,600,760,580,400,600,785,785,200,Not Available,3970,325,3370
A.S. Turner & Sons Funeral Home,a-s-turner-sons-funeral-home,2773 North Decatur Road,Decatur,GA,30033,404-292-1551,2975,840,280,335,495,395,395,185,Not Available,2285,Included,1790
A Simple Service Burial & Cremation,a-simple-service-burial-cremation,451 Hospital Drive,Gastonia,NC,28054,704-884-0150,895,535,135,135,275,255,Not Available,195,Not Available,1370,Included,1095
A. Vest & Sons Funeral Home ,a-vest-sons-funeral-home,2508 Walkers Creek Valley Road,Pearisburg,VA,24134,540-921-2985,1859,600,85,400,400,150,190,90,90,2675,Included,2275
A.W. Rich Funeral Home,a-w-rich-funeral-home,1176 Main St,Fairfax,VT,5454,802-849-6261,2546,475,250,525,475,425,375,175,Not Available,1540,Not Available,1065
A.W. Rich Funeral Home,a-w-rich-funeral-home-01,57 Main St,Essex Junction,VT,5452,802-879-4611,2546,475,250,525,475,425,375,175,Not Available,1540,Not Available,1065
Aaron-RubenNelson Mortuary,aaron-rubennelson-mortuary,11411 North Michiga n Road,Zionsville,IN,46077,317-873-4776,2595,750,350,475,525,395,375,100,100,2473,Included ,1948
Aaron's Bessemer Birmingham Mortuary,aarons-bessemer-birmingham-mortuary,1004 4th Ave North,Bessemer,AL,35020,800-554-2262,2295,900,195,295,450,395,295,295,Included,2895,Included,2445
Aasum-Dufour Funeral Home,aasum-dufour-funeral-home,805 Ellsworth at Ninth Ave,Albany,OR,97321,541-926-5541,1200,450,190,195,495,300,225,175,Not Available,1860,Included,1365
Abbey Funeral Home & Cremation Services,abbey-funeral-home-cremation-services,511 Brook St,Rocky Hill,CT,6067,860-529-3090,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Included,995
Abbey Funeral Inc.,abbey-funeral-inc,550 Business Park Drive,Medford,OR,97504,541-773-7117,975,495,195,235,495,395,395,295,Not Available,1475,Included,1280
Abbott Funeral Home,abbott-funeral-home,236 Second Street West,Wabasha,MN,55981,651-565-3546,2435,485,270,390,460,270,430,70,80,4010,Included,3550
Abernathy Aaron Funeral Home,abernathy-aaron-funeral-home,201 North Hickory Street,Crescent,OK,73028,405-969-3361,1520,795,225,225,495,195,225,135,285,1665,215,1170
Abraham L. Green & Son Funeral Home,abraham-l-green-son-funeral-home,88 Beach Rd,Fairfield,CT,6824,203-255-8993,2995,1195,950,475,1500,450,435,295,Not Available,6391,Included,4991
Abriola & Kelemen Funeral Homes,abriola-kelemen-funeral-homes,2611 Main Street,Stratford,CT,6615,203-375-7881,2495,725,295,600,650,375,375,175,Not Available,3145,310,2495
Abriola Parkview Funeral Home,abriola-parkview-funeral-home,419 White Plains Road,Trumbull,CT,6611,203-373-1013,2380,710,500,910,695,630,505,180,Not Available,3875,300,3180
Accent Funeral Home,accent-funeral-home,1303 N Main St,Meridian,ID,83642,208-888-5833,1265,375,175,245,525,225,175,Included,Not Available,2765,Included,1490
Acree-Davis Funeral Home,acree-davis-funeral-home,90 S. Pond Street,Toccoa,GA,30577,706-886-3106,1285,650,175,350,500,250,250,75,35,1950,Included,1450
Acton Funeral Home,acton-funeral-home,470 Massachusetts Ave,Acton,MA,1720,978-263-5333,2295,550,275,600,600,400,370,250,Included,3700,Included,3100
Adams BrownService Funeral Home,adams-brownservice-funeral-home,6906 Highway 431 S,Albertville,AL,35950,256-878-0231,1795,750,250,475,475,350,300,350,Not Available,2670,Included,2195
Adams-Buggs Funeral Home,adams-buggs-funeral-home,401 N. 9th Street,Gadsden,AL,35901,256-546-0432,1295,1295,Included,270,960,185,240,Included,Not Available,1875,Included,1395
