Name,seo-url,Address,City,State,Zip,Phone,Basic Services,Embalming,Dressing & Casketing,Facilities & Staff for Visitation,Facilities & Staff for Chapel Service,Transfer Vehicle to Funeral Home,Hearse,UtilityFlower Vehicle,Lead Car,Direct Cremation with Memorial Service ,Crematory Fee,Direct Cremation
Twin Lakes Cremation Society,twin-lakes-cremation-society,1215 Central Blvd,Bull Shoals,AR,72619,870-445-4257,1245,595,225,275,395,295,200,85,Not Available,1590,Included,1195
Twin Oaks Memorial Gardens & Funeral Home,twin-oaks-memorial-gardens-funeral-home,290 Goodman Road E,Southaven,MS,38671,662-349-9720,1750,700,175,350,550,250,150,125,Not Available,2245,Included,1695
Twomey-LeBlanc & Conte Funeral Home,twomey-leblanc-conte-funeral-home,193 High Street,Newburyport,MA,1950,978-465-9323,2995,885,495,300,300,350,350,350,195,3295,Not Available,2595
Tyler Area Funeral Home,tyler-area-funeral-home,100 West Hwy. 14,Tyler,MN,56178,507-247-5331,3100,635,425,225,370,325,415,Included,Not Available,2370,Not Available,2000
Tyler Funeral Home,tyler-funeral-home,500 Cohen Street,Brookhaven,MS,39601,601-833-6071,760,640,115,395,395,200,260,130,100,1600,Included,1205
Tyndall Funeral Home,tyndall-funeral-home,1005 North Church Street,Mount Olive,NC,28365,919-658-2303,2095,720,190,400,450,290,365,75,Not Available,3195,Included,2745
Tyree Funeral Home,tyree-funeral-home,701 Hwy 21,Mount Hope,WV,25880,304-877-6454,1650,675,150,325,325,325,325,Not Available,Not Available,2400,Included,2075
Uhrich-Hostettler English Funeral Home,uhrich-hostettler-english-funeral-home,634 N. Water Street,Uhrichsville,OH,44683,740-922-3153,2725,350,100,350,350,Included,165,100,Included,3260,325,2965
Uht Funeral Home,uht-funeral-home,35400 Glenwood Road,Westland,MI,48185,734-721-8555,2850,600,250,550,500,300,300,325,Not Available,2360,250,1760
Underwood Funeral Home,underwood-funeral-home,522 South Bright Leaf Blvd.,Smithfield,NC,27577,919-934-8191,1925,590,245,425,450,300,310,120,Not Available,2845,Included,2395
Unger Funer,unger-funer,229 Mill Streeet,Silverton,OR,97381,503-873-5141,1467,357,95,178,488,328,328,97,Not Available,1573,Included,1085
Unicoi Funeral Home ,unicoi-funeral-home,4428 Unicoi Drive,Unicoi,TN,37692,423-743-1381,1895,595,125,395,395,350,350,165,Not Available,3755,Included,3360
Union Funeral Home,union-funeral-home,1600 Stuyvesant Ave,Union,NJ,7083,908-964-4222,1950,800,400,900,500,375,395,Not Available,Not Available,2650,305,1750
United Funeral Service,united-funeral-service,700 Highway 15 South,New Albany,MS,38652,662-534-5071,2010,650,100,225,450,275,250,150,Included,2400,Included,1950
Unity Chapel at Cliffdale,unity-chapel-at-cliffdale,1037 71st School Road,Fayetteville,NC,28314,910-864-0001,1970,675,150,295,295,245,350,115,Not Available,1510,Included,1215
Unity Funeral Home,unity-funeral-home,1215 Leona Street,Dothan,AL,36303,334-792-5169,1450,675,200,Included,Included,175,175,Not Available,Not Available,2050,Included,1850
Unity Funeral Service,unity-funeral-service,594 South Reilly Road,Fayetteville,NC,28314,910-860-3900,1970,675,150,295,295,245,350,115,Not Available,1510,Included,1215
Unity Mortuary,unity-mortuary,4235 Fairfax By-Pass,Valley,AL,36854,334-756-9538,1100,500,150,350,350,300,300,400,Not Available,1925,Included,1575
Upchurch Funeral Home,upchurch-funeral-home,Rt 28 N,Fort Ashby,WV,26719,301-724-2250,1500,500,150,485,500,185,200,75,75,2225,Included,1725
Upchurch Funeral Home,upchurch-funeral-home-01,202 Greene St,Cumberland,MD,21502,301-724-2250,1500,500,150,485,500,185,200,75,75,2225,Included,1725
Updike Funeral Home & Crematory Service,updike-funeral-home-crematory-service,1140 W Lynchburg Salem Turnpike,Bedford,VA,24523,540-586-3304,1635,540,75,480,655,120,190,85,85,2795,Included ,2290
Urban Winkler Funeral Home,urban-winkler-funeral-home,513 W. Eighth Street,Connersville,IN,47331,765-825-1761,1318,699,195,495,594,299,160,85,Not Available ,2287,250,1912
Usrey Brown Funeral Home,usrey-brown-funeral-home,516 North Street East,Talladega,AL,35160,256-362-2344,1695,995,195,375,375,200,200,200,175,2865,Included,2490
V. K. Ryan & Son Funeral Home,v-k-ryan-son-funeral-home,300 East 7th Street,Columbia,TN,38401,931-388-4961,1800,500,350,375,575,275,395,200,200,1750,Included,1275
V Y Scott Funeral Home,v-y-scott-funeral-home,14001 Patrick Henry Hwy ,Amelia Courthouse,VA ,23002,804-561-2022,1800,825,150,275,325,200,400,100,100,2650,Included ,2325
Vainieri Funeral Home,vainieri-funeral-home,5923 Kennedy Boulevard,North Bergen,NJ,7047,201-868-6555,1495,750,295,500,500,295,295,Not Available,Not Available,2000,Included,1500
Valade Funeral Home,valade-funeral-home,23 Main Street,North Grosvenordale,CT,6255,860-928-7723,2195,645,225,495,695,335,380,240,240,3870,Included,3175
Valdese Family Funeral Care & Cremation Service,valdese-family-funeral-care-cremation-service,205 Morgan Street SE,Valdese,NC,28690,828-874-2117,475,595,195,175,200,320,320,50,Not Available,1395,Included,1195
Valley Chapel,valley-chapel,601 North C Street,Eloy,AZ ,85131,520-466-7387,1795,840,460,595,895,550,450,95,Not Available,2715,200,1820
Valley Chapel Funeral Home of Oneonta,valley-chapel-funeral-home-of-oneonta,1607 Second Avenue East,Oneonta,AL,35121,205-625-3321,1075,825,150,275,325,275,325,250,Not Available,2670,Included,2420
Valley Funeral Home,valley-funeral-home,1214 Kentucky Avenue,Stevenson,AL,35772,256-437-9986,730,450,90,300,300,150,150,65,Not Available,1495,Included,1195
Valley Funeral Home & Chapel,valley-funeral-home-chapel,1085 N. Main Avenue,Erwin,TN,37650,423-743-9187,2165,495,150,275,350,325,295,165,Not Available,3740,Included,3390
Valley Funeral Home & Cremation Service,valley-funeral-home-cremation-service,1609 Peters Creek Road,Roanoke,VA,24017,540-562-1182,1200,725,125,300,375,250,225,95,110,1375,Included,1025
Valley Funeral Home & Crematory,valley-funeral-home-crematory,151 E Herning Ave,Wasilla,AK,99654,907-373-3344,1095,625,230,375,575,375,375,375,Not Available,2050,Included,1475
Valley Funeral Service,valley-funeral-service,14116 S. Middle Road,Edinburg,VA,22824,540-984-3700,1550,495,175,350,425,400,300,100,100,3395,Not Available,2970
Valley Hills Funeral Home -Sunnyside,valley-hills-funeral-home-sunnyside,531 S. 16th St,Sunnyside,WA,98944,509-839-5500,1450,450,145,225,450,450,175,85,Not Available,2195,Included,1295
Valley Hills Funeral Home -Yakima,valley-hills-funeral-home-yakima,2600 Business Lane,Yakima,WA,98901,509-453-5500,1450,450,145,225,450,450,175,85,Not Available,2195,Included,1295
Valley Hills Funeral Home - Zillah,valley-hills-funeral-home-zillah,607 2nd Ave,Zillah,WA,98953,509-829-5500,1450,450,145,225,450,450,175,85,Not Available,2195,Included,1295
Valley Memorial Park Funeral Home,valley-memorial-park-funeral-home,3929 SE Tualatin Valley Highway,Hillsboro,OR,97123,503-648-5444,935,495,195,250,750,495,350,95,Not Available,1210,Included,460
Van Arsdale Funeral Chapel,van-arsdale-funeral-chapel,107 N Sixth St,Osage City,KS,66523,785-528-3165,1800,650,420,260,560,300,225,85,85,3645,Included,3085
Van Arsdale Funeral Chapel,van-arsdale-funeral-chapel-01,501 E 3rd,Eskridge,KS,66423,785-449-2221,1800,650,420,260,560,300,225,85,85,3645,Included,3085
Van Arsdale Funeral Home,van-arsdale-funeral-home,202 W. Main St,Madison,KS,66860,620-437-2081,1800,650,420,260,560,300,225,85,85,3645,Included,3085
Van Gilder Funeral Home,van-gilder-funeral-home,300 W. Madison St,Plymouth,IN,46563,574-936-2534,2450,610,295,410,375,310,345,Not Available ,Not Available ,2225,200,1850
Van Hoose & Steele Funeral Home,van-hoose-steele-funeral-home,2615 Stillman Blvd,Tuscaloosa,AL,35401,205-759-5736,1500,1000,400,200,800,450,450,450,200,3995,Included,3995
Van Horn Eagle Funeral Home,van-horn-eagle-funeral-home,40 S. Manning St,Hillsdale,MI,49242,517-437-3160,1795,615,240,395,425,310,310,110,Not Available,2795,200,2030
Van HornMcDonough Funeral Home,van-hornmcdonough-funeral-home,21 York Street,Lambertville,NJ,8530,609-397-0105,2450,850,350,425,825,325,365,175,Not Available,3375,285,2550
Van Lerberghe Funeral Home,van-lerberghe-funeral-home,30600 Harper,Saint Clair Shores,MI,48082,586-293-6000,1600,1100,Included,510,540,875,Included,Not Available,Not Available,2850,Included,1950
Van Tassel Funeral Home,van-tassel-funeral-home,337 Belleville Avenue,Bloomfield,NJ,7003,973-743-1234,1695,995,395,850,495,395,395,350,195,2040,Not Available,1645
Vance-Gerdes Funeral Home,vance-gerdes-funeral-home,401 Main St.,"Odell,",NE,68415,402-766-3668,2400,675,200,425,495,385,365,200,Included,3870,240,3375
Vance Memorial Chapel,vance-memorial-chapel,3738 Highway 431 North,Phenix City,AL,36867,334-298-0668,2695,995,275,295,795,495,295,150,Not Available,3505,Included,2710
Vancouver Funeral Chapel,vancouver-funeral-chapel,110 E. 12th St,Vancouver,WA,98660,360-693-3633,2245,695,295,295,595,695,295,195,Not Available,4005,Included,2790
Vander Plaat Colonial Funeral Home,vander-plaat-colonial-funeral-home,13-31 Saddle River Rd #31,Fair Lawn,NJ,7410,201-797-3500,2595,875,425,950,375,395,345,290,Not Available,3800,Included,3300
Vander Plaat Funeral Home,vander-plaat-funeral-home,257 Godwin Ave,Wyckoff,NJ,7481,201-891-3400,550,600,800,450,450,550,600,425,Not Available,2885,285,3375
Vander Plaat Memorial Home,vander-plaat-memorial-home,113 S. Farview Ave,Paramus,NJ,7652,201-843-3100,2900,900,425,955,550,395,425,255,Included,2545,360,1995
Vander PlaatVermeulen Memorial Home,vander-plaatvermeulen-memorial-home,530 High Mountain Road,Franklin Lakes,NJ,7417,201-891-4770,2950,900,350,995,595,450,500,325,Not Available,3245,Not Available,2650
VanderLaan Funeral Home,vanderlaan-funeral-home,4917 32nd Avenue,Hudsonville,MI,49426,616-669-6654,2295,695,345,745,695,395,395,295,Included,2190,Included,1695
Vanderwall Funeral Home,vanderwall-funeral-home,164 Maple Street,Dayton,TN,37321,423-775-2662,1685,990,150,760,730,325,250,105,Not Available,3125,295,2525
Vankirk-Grisell Funeral Home,vankirk-grisell-funeral-home,607 Master St,Corbin,KY,40701,606-528-3131,1265,800,200,600,650,250,250,100,100,2145,Included,1595
Vanover Funeral Home,vanover-funeral-home,9000 State Route 132 W,Clay,KY,42404,270-664-2288,1995,1125,225,400,400,225,175,175,Not Available,2695,Included,2295
VanZantwickBartelsKammeraad Funeral Home,vanzantwickbartelskammeraad-funeral-home,620 Washington Avenue,Grand Haven,MI,49417,616-842-6100,2165,700,250,375,375,460,275,175,Not Available,2565,375,2190
Varnum Funeral Home,varnum-funeral-home,43 E. Main Street,West Brookfield,MA,1585,508-867-2885,2475,1075,365,775,750,425,375,300,Not Available,4600,Included,3850
Vassar-Rawls Funeral Home,vassar-rawls-funeral-home,920 21st Avenue,Lewiston,ID,83501,208-743-6541,950,395,140,100,1595,225,225,85,Not Available,3025,Included,1430
Vaughan Funeral Home,vaughan-funeral-home,1010 Murdoch Ave.,Parkersburg,WV,26101,304-485-5471,1597,695,295,395,395,295,295,175,Not Available,2194,Included,1799
Vaughan-Guynn Funeral Home,vaughan-guynn-funeral-home,201 W. Center,Galax, VA,24333,276-236-2442,1575,420,120,225,395,145,230,95,95,1685,Included,1360
Vaughan-GuynnMcGrady Funeral Home ,vaughan-guynnmcgrady-funeral-home,1035 N Main St,Hillsville,VA,24343,276-728-2041,1575,420,120,225,395,145,230,95,95,1685,Included,1360
Vaughn Funeral Home  ,vaughn-funeral-home,150 East Piccadilly Avenue ,Spring City,TN,37381,423-365-5221,2295,895,295,450,495,400,295,175,Not Available,2890,275,2395
Vazza Beechwood Funeral Home,vazza-beechwood-funeral-home,262 Beach Street,Revere,MA,2151,781-289-0623,2495,900,Included,1000,700,400,400,350,150,2525,550,1525
Veilleux Funeral Home,veilleux-funeral-home,8 Elm,Waterville,ME,4901,207-872-7676,2995,895,395,545,545,595,495,395,Not Available,4025,375,3480
Venskunas Funeral Home,venskunas-funeral-home,670 Stanley Street,New Britain,CT,6051,860-229-1702,1950,850,325,195,775,395,325,190,Not Available,1995,Not Available,1500
Verdun Family Funeral Home & Cremation Services,verdun-family-funeral-home-cremation-services,303 S. Bridge Street,Belding,MI,48809,616-794-1300,1080,495,130,425,525,495,350,85,110,1735,195,1210
Vermeulen Funeral Home,vermeulen-funeral-home,980 N Newburgh Rd,Westland,MI,48185,734-326-1300,2080,595,195,695,495,300,300,75,100,2070,200,1375
Vermeulen Funeral Home,vermeulen-funeral-home-01,46401 Ann Arbor Rd.,Plymouth,MI,48170,734-459-2250,2080,595,195,695,495,300,300,75,100,2070,200,1375
Verrett Pointe Coupee Funeral Home,verrett-pointe-coupee-funeral-home,1018 Parent St.,New Roads,LA,70760,225-638-7544,898,875,420,250,650,300,290,Not Available,Not Available,2125,Included,1750
Vertin-Munson Funeral Home,vertin-munson-funeral-home,503 3rd Ave N,Wahpeton,ND,58075,701-642-4000,3295,695,385,395,500,300,300,125,Not Available,4485,Included,3990
Vertin-Munson Funeral Home - Willow Chapel,vertin-munson-funeral-home-willow-chapel,920 3rd Avenue North,Wahpeton,ND,58075,701-642-4000,3295,695,385,395,500,300,300,125,Not Available,4485,Included,3990
Vertuccio and Smith Funeral Home,vertuccio-and-smith-funeral-home,773 Broadway,Revere,MA,2151,781-284-7756,1295,1095,Included,1595,595,350,350,350,Not Available,2490,410,1895
Viborg Funeral Home,viborg-funeral-home,212 South Main Street,Viborg,SD,57070,605-326-5415,1600,500,300,450,450,200,300,Not Available,Not Available,2450,Included,2000
Vidalia Funeral Home,vidalia-funeral-home,108 Pine Street West,Vidalia,GA,30474,912-537-8887,1795,595,Included,Included,295,295,295,Included,Not Available,1990,250,1695
Viegut Funeral Home,viegut-funeral-home,1616 N. Lincoln Avenue,Loveland,CO,80538,970-679-4669,1600,450,175,150,250,200,225,100,Not Available,2250,Included,850
Village Chapel Funeral Home,village-chapel-funeral-home,101 Vandell Blvd,Gadsden,AL,35904,256-547-5557,995,675,175,395,395,295,225,345,Not Available,2985,Included,2590
Vincent Funeral Home,vincent-funeral-home,300 Eleazar Avenue,Kaplan,LA,70548,337-643-7276,1900,540,220,550,550,270,315,50,Included,3605,Included,3055
Vincent Funeral Home,vincent-funeral-home-01,311 Fourth Street,Gueydan,LA,70542,337-536-6124,1900,540,220,550,550,270,315,50,Included,3605,Included,3055
Vincent Funeral Home,vincent-funeral-home-02,880 Hopmeadow,Simsbury,CT,6070,860-658-7613,1995,585,200,225,695,345,330,195,110,3545,Included,2895
Vincent Funeral Home,vincent-funeral-home-03,120 Albany Turnpike,Canton,CT,6019,860-693-0251,1995,585,200,225,695,345,330,195,110,3545,Included,2895
Vincent Funeral Home ,vincent-funeral-home-04,417 11th Street,West Point, VA,23181,804-843-2550,1630,595,165,350,450,275,210,145,Included ,2910,Included ,2510
Vincent Funeral Home Of Abbeville,vincent-funeral-home-of-abbeville,209 S. St. Charles,Abbeville,LA,70510,337-893-4661,1900,540,220,550,550,270,315,50,Included,3605,Included,3055
Vincent R. Drummer Funeral Home,vincent-r-drummer-funeral-home,406 W. First Street,Vidalia,GA,30474,912-537-4473,1995,975,150,225,395,295,275,95,95,2190,Included,1795
Vining Ivy Hill Chapel,vining-ivy-hill-chapel,105 Lower Harmony Rd,Eatonton,GA,31024,706-485-4144,995,850,225,325,425,250,225,225,Not Available,2345,Included,2045
Virginia Funeral Home,virginia-funeral-home,3222 Slate Creek Road,Grundy,VA,24614,276-935-2611,1350,500,100,300,300,150,200,75,Not Available,2090,Included,1790
Visser Funeral Home,visser-funeral-home,432 3rd Street,Langley,WA,98260,360-221-6600,2870,500,250,235,500,475,185,100,Not Available N,2690,Included,2190
Vogler & Sons Funeral Home,vogler-sons-funeral-home,2951 Reynolda Road,Winston-Salem,NC,27106,336-722-6106,2995,1195,395,395,695,595,495,90,150,3385,Included,2690
Vogler & Sons Funeral Home,vogler-sons-funeral-home-01,2849 Middlebrook Dr.,Clemmons,NC,27012,336-766-4714,2995,1195,395,395,695,595,495,90,150,3385,Included,2690
Volk-Leber Funeral Home,volk-leber-funeral-home,789 Teaneck Road,Teaneck,NJ,7666,201-836-0202,2295,1095,450,650,650,350,395,365,Not Available,3640,250,2990
Volk-Leber Funeral Home,volk-leber-funeral-home-01,268 Kinderkamack Road,Oradell,NJ,7649,201-261-1088,2295,1095,450,650,650,350,395,365,Not Available,3640,250,2990
Volzke Funeral Home,volzke-funeral-home,147 Main Street,"Seward,",NE,68434,402-643-2515,3100,900,180,200,395,195,195,90,Not Available,3385,Included,2990
Voran Funeral Home,voran-funeral-home,23750 Goddard Rd,Taylor,MI,48180,313-291-1800,1600,650,300,900,500,300,400,300,Not Available,1800,225,1300
Voran Funeral Home,voran-funeral-home-01,23701 Ford,Dearborn,MI,48128,313-278-5100,1550,600,250,900,450,250,350,250,Not Available,1600,225,1150
Voran Funeral Home,voran-funeral-home-02,5900 Allen,Allen Park,MI,48101,313-928-2300,1550,600,250,900,450,250,350,250,Not Available,1600,225,1150
VorheesIngwersen Funeral Home,vorheesingwersen-funeral-home,59 Main Street,Ridgefield Park,NJ,7660,201-342-2350,2170,1175,430,1175,550,375,365,210,Not Available,2760,285,2150
W.C. Thompson Funeral Home,w-c-thompson-funeral-home,503-7 N Main Street,Culpeper,VA,22701,540-825-6700,1550,525,390,230,230,175,175,110,110,2755,Included,2525
W.D. Crowder Funeral Home ,w-d-crowder-funeral-home,1800 John L Patterson St ,Springfield,TN,37172,615-384-7984,2050,700,225,300,350,250,300,150,Not Available,1850,Included,1600
W.E. Hawkes & Son Funeral Home ,w-e-hawkes-son-funeral-home,504 East,Blackstone,VA,23824,434-292-5559,1495,650,150,295,295,150,250,50,Included ,2885,300,2590
W.E. Pegues Funeral Directors,w-e-pegues-funeral-directors,280 Mobile Street,Saltillo,MS,38866,662-869-2130,1675,665,195,325,390,250,250,190,130,2185,Included,1795
"W. H. Bryant, A. E. Grier & Sons Funeral Home",w-h-bryant-a-e-grier-sons-funeral-home,1020 Briarhill Road,Mooresville,NC,28115,704-696-2603,1500,800,Included,175,250,175,175,175,Not Available,1775,Included,1525
W. H. Jefferson Funeral Home,w-h-jefferson-funeral-home,800 Monroe Street,Vicksburg,MS,39183,601-638-1641,2245,595,350,150,150,175,175,150,125,1800,Included,1650
W.J. Smith & Son Funeral Home,w-j-smith-son-funeral-home,210 Harpersville Road,Newport News,VA,23601,757-596-6911,1670,465,160,350,505,275,240,155,70,3000,Included,2400
W.R. Woody Funeral Home,w-r-woody-funeral-home,465 High,Burlington,NJ,8016,609-386-1834,1895,825,180,750,750,225,350,350,350,2045,Included,1295
W.S. Clancy Memorial Funeral Home,w-s-clancy-memorial-funeral-home,244 N. Main Street,Branford,CT,6405,203-488-3414,2195,995,300,475,475,395,415,65,Not Available,4210,375,3735
W. S. Watkins & Son Funeral Home,w-s-watkins-son-funeral-home,2700 North Avenue,Richmond,VA,23222,804-728-0653,1195,500,150,400,500,195,295,100,100,1945,Included ,1595
Waconda Funeral Home,waconda-funeral-home,815 W. First Street,Cawker City,KS,67430,785-781-4800,1850,650,285,700,700,255,300,150,Included,4200,Included,3500
Wade-Nowell Funeral Home,wade-nowell-funeral-home,401 Main Street,Collins,MS,39428,601-765-2121,1950,695,150,400,400,250,250,150,150,1975,Included,1775
Wadley Funeral Service,wadley-funeral-service,303 W. Washington,Purcell,OK,73080,405-527-6687,1100,500,200,300,500,200,200,200,Not Available,2265,Included,1765
Wadlow-Rozanek Funeral Home,wadlow-rozanek-funeral-home,424 Pine Street,"Valparaiso,",NE,68065,402-784-2841,1875,678,315,415,660,425,325,125,Included,1735,Included,1175
Wages & Sons Funeral Home,wages-sons-funeral-home,1040 Main Street,Stone Mountain,GA,30086,770-469-9811,2195,795,250,525,650,425,375,175,Not Available,3070,Included,2420
Wages & Sons Funeral Home,wages-sons-funeral-home-01,1031 Lawrenceville Hwy,Lawrenceville,GA,30046,770-277-4550,2195,795,250,525,650,425,375,175,Not Available,3070,Included,2420
Wagley Funeral Home,wagley-funeral-home,1501 W. Maumee,Adrian,MI,49221,517-265-8182,2050,700,200,600,650,300,500,300,Not Available,2145,Included,1495
Wainright & Parlor Funeral Home,wainright-parlor-funeral-home,3 East Odom Street,Hazlehurst,GA,31539,912-375-4571,1550,700,75 Included ,400,500,150,350,125,95,1850,Included,1450
WainwrightBernhardt Funeral Home,wainwrightbernhardt-funeral-home,1024 East Landis Avenue,Vineland,NJ,8360,856-691-0781,1895,895,395,595,795,275,325,200,125,2590,275,1995
Waitt Funeral Home,waitt-funeral-home,850 N. Main Street,Brockton,MA,2301,508-583-7272,1950,650,200,575,575,375,350,225,295,2390,Included,1795
Wakelee Memorial Funeral Home,wakelee-memorial-funeral-home,167 Wakelee Avenue,Ansonia,CT,6401,203-734-1490,2400,895,400,725,725,450,420,150,150,3725,350,3000
Wakeman Funeral Home,wakeman-funeral-home,1218 N. Michigan Ave,Saginaw,MI,48602,989-752-8531,1831,446,164,778,572,250,320,250,Not Available,2553,210,1981
Waldrop Funeral Home,waldrop-funeral-home,1208 Hwy 2 North,Wilburton,OK,74578,918-465-2228,1990,295,50,50,175,140,150,50,Not Available,1975,Included,1800
Walker-Brown Funeral Home,walker-brown-funeral-home,4201 Nowata Road,Bartlesville,OK,74006,918-333-7665,1150,660,195,150,445,155,225,50,Not Available,2095,Included,1650
Walker Chapel Funeral Home,walker-chapel-funeral-home,1200 Ellard Road,Fultondale,AL,35068,205-849-5000,2490,1195,Included,495,495,350,225,100,Not Available,2990,Included,2495
Walker Funeral Home,walker-funeral-home,211 N 1st St,Rolling Fork,MS,39159,662-873-4005,1577,395,200,150,225,395,225,100,Not Available,1220,Included,995
Walker Funeral Home,walker-funeral-home-01,14 High St,Greenfield,MA,1301,413-772-6393,1630,560,300,250,745,250,250,210,Included,3260,Included,2515
Walker Funeral Home,walker-funeral-home-03,248 East South Street,Winchester,IN,47394,765-584-3231,1875,500,200,500,500,200,225,95,Not Available,3090,Included ,2295
Walker Funeral Service,walker-funeral-service,201 E 45th St,Shawnee,OK,74804,405-273-4700,2595,550,275,300,625,350,425,250,Not Available,2455,240,1605
Walker & Glancy Funeral Home ,walker-glancy-funeral-home,109 W. Windsor Street,Montpelier,IN,47359,765-728-2414,2105,1075,375,480,480,195,270,55,80,2875,Included,2395
Walker Memorial Funeral Home,walker-memorial-funeral-home,163 Irene Roberts Road,Lillington,NC,27546,910-814-1200,1595,700,125,450,575,150,300,75,75,1295,Included,970
Walker Memorial Service,walker-memorial-service,1703 Broad Street,Selma,AL,36702,334-874-4444,750,500,150,250,250,200,400,Not Available,250,1650,Included,1400
Walker's Funeral Home,walkers-funeral-home,304 West Center St.,Mebane,NC,27302,919-563-9211,1795,550,50,375,375,250,250,200,Not Available,2470,Included,2095
Walker's Funeral Home,walkers-funeral-home-01,204 N. Churton Street,Hillsborough,NC,27278,919-732-2121,1795,550,50,375,375,250,250,200,Not Available,2470,Included,2095
Walker's Funeral Home,walkers-funeral-home-02,120 W. Franklin St.,Chapel Hill,NC,27516,919-942-3861,1795,550,50,375,375,250,250,200,Not Available,2470,Included,2095
Walker's Mortuary Chapel of Peace,walkers-mortuary-chapel-of-peace,3407 Old Pond Road,John's Island,SC,29455,843-559-0341,1075,625,100,150,150,200,250,Not Available ,Not Available ,1550,Included,1400
Wallace Funeral Home,wallace-funeral-home,1760 Midland Trail,Milton,WV,25541,304-743-1500,2370,675,295,300,295,335,355,105,Not Available,2195,Included,1900
Wallace Funeral Home & Chapel,wallace-funeral-home-chapel,1159 Central,Barboursville,WV,25504,304-736-3431,2370,675,295,300,295,335,355,105,Not Available,2195,Included,1900
Wallace & Wallace Funeral Homes,wallace-wallace-funeral-homes,502 Monroe Ave,Ronceverte,WV,24970,304-647-5511,1850,525,125,475,525,200,285,200,Not Available,3050,Included,2625
Wallace & Wallace Funeral Homes,wallace-wallace-funeral-homes-01,106 Holly Street,Ansted,WV,25812,304-658-5132,1850,525,125,475,525,200,285,200,Not Available,3050,Included,2625
Wallace & Wallace Funeral Homes,wallace-wallace-funeral-homes-02,Old Route 92,Arbovale,WV,24915,304-456-4277,1850,525,125,475,525,200,285,200,Not Available,3050,Included,2625
Wallace & Wallace Funeral Homes,wallace-wallace-funeral-homes-03,102 N Jefferson St,Lewisburg,WV,24901,304-645-2060,1850,525,125,475,525,200,285,200,Not Available,3050,Included,2625
Wallace & Wallace Funeral Homes,wallace-wallace-funeral-homes-04,213 Main St,Rainelle,WV,25962,304-438-8523,1850,525,125,475,525,200,285,200,Not Available,3050,Included,2625
Waller Funeral Home,waller-funeral-home,419 Hwy 6 West,Oxford,MS,38655,662-234-7971,1495,770,200,450,450,260,250,80,Not Available,2325,Included,1850
Walley-MillsZimmerman Funeral Home,walley-millszimmerman-funeral-home,700 E. Jackson Blvd.,Elkhart,IN,46516,574-295-2323,1870,695,225,150,400,310,300,175,110,1845,Not Available ,1445
Wallingford Funeral Home,wallingford-funeral-home,809 N. Main Street,Wallingford,CT,6492,203-269-7777,2195,700,300,650,650,325,350,Included,Included,3341,Included,2691
Walnut Grove Funeral Home,walnut-grove-funeral-home,520 Main St,Walnut Grove,MN,56180,507-859-2161,3100,635,425,225,370,325,415,Included,Not Available,2370,Not Available,2000
Walson Funeral Home,walson-funeral-home,723 Parsonage St.,Elizabeth City,NC,27909,252-335-4584,1695,500,150,200,500,200,300,150,100,1500,Included,1000
Walter Funeral Home,walter-funeral-home,100 W. Florida Ave,Marion,SD,57043,605-648-3412,1995,595,390,415,650,350,200,100,Not Available,3315,Included,2665
